Site,ARIMA MAE,ARIMA RMSE,ARIMA MAPE,SARIMA MAE,SARIMA RMSE,SARIMA MAPE,RF MAE,RF RMSE,RF MAPE,XGB MAE,XGB RMSE,XGB MAPE,Best Model,Best MAPE
Janakpur Dham,9367.02,13843.19,33.73,9592.85,13495.18,37.79,4137.97,6201.9,16.52,3944.42,5928.04,15.45,XGBoost,15.45
Lumbini,32311.9,40439.08,32.22,44503.53,57697.65,41.97,12372.4,15122.74,13.72,13894.88,17925.49,14.09,Random Forest,13.72
Muktinath,4209.97,5054.58,54.74,3471.34,4355.74,41.7,1467.71,1820.08,19.02,2076.13,2639.8,24.91,Random Forest,19.02
Pashupatinath,39783.17,54126.9,38.88,19863.53,28305.14,24.29,13038.58,18775.64,13.16,15198.35,21308.2,14.91,Random Forest,13.16
